ID,Source,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
67414,Proxy,Sat Mar 30 11:43:31 GMT 2024,GET,http://localhost:8884/?order_by=id&sort=DESC,201,Created,51,22650,Low,false,JSON
67416,Proxy,Sat Mar 30 11:43:40 GMT 2024,GET,http://localhost:8884/?order_by=id&sort=ASC,201,Created,18,22650,Low,false,JSON
67417,Proxy,Sat Mar 30 11:43:40 GMT 2024,GET,http://localhost:8884/?order_by=id&sort=DESC,201,Created,21,22650,,false,
67418,Proxy,Sat Mar 30 11:43:45 GMT 2024,GET,http://localhost:8884/27,201,Created,28,1264,Low,false,JSON
67419,Proxy,Sat Mar 30 11:43:45 GMT 2024,GET,http://localhost:8884/7,201,Created,5,781,,false,
67420,Proxy,Sat Mar 30 11:43:54 GMT 2024,PUT,http://localhost:8884/27,201,Created,32,1445,Low,false,JSON
67421,Proxy,Sat Mar 30 11:43:58 GMT 2024,POST,http://localhost:8884/create,201,Created,29,807,Low,false,JSON
67422,Proxy,Sat Mar 30 11:44:00 GMT 2024,DELETE,http://localhost:8884/28,201,Created,39,971,Low,false,JSON
