ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
289682,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/transform-2x-v3.jpeg,200,OK,6,243,66936
289685,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/favicon.ico,200,OK,4,242,3870
289689,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/box-dark.svg,200,OK,3,243,1603
289690,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/WS_FTP.ini,404,Not Found,2,155,555
289688,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/eventbrite-dark.svg,200,OK,1,244,8833
289691,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/instructor-2x-v3.jpeg,200,OK,6,243,98109
289692,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/logo-ub.svg,200,OK,4,243,3087
289686,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/,200,OK,1,241,60931
289687,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/netapp-dark.svg,200,OK,2,243,2441
289695,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/box-dark.svg,200,OK,2,243,1603
289693,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/header/header.jpg,200,OK,2,243,74950
289694,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/favicon.ico,200,OK,2,242,3870
289696,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/ws_ftp.ini,404,Not Found,2,155,555
